,Venue Name,Average Rating,Review Count,SkyTrain Station,Latitude,Longitude,ID,Source,Distance
38,Donair Land,3.8,253,Joyce–Collingwood,49.238433,-123.0325759,ChIJcWF3fpR2hlQRFKfCDUkGeKk,Google,59.76570824589936
39,Dog Eat Corndog,4.4,38,Joyce–Collingwood,49.2381153,-123.031018,ChIJR8e2Sed3hlQR5Fu8sfeHZbg,Google,60.88650575188086
40,Capo & The Spritz,4.3,279,Yaletown-Roundhouse Station,49.2747185,-123.1227321,ChIJf19vi-tzhlQRQ4fkeaIDiLc,Google,60.91633755892119
41,Dublin Crossing - Vancouver,4.1,1384,Marine Drive Station,49.20950819999999,-123.1161917,ChIJIa_ZePZ0hlQR6Uj67grEe7o,Google,62.80245654563747
42,Devil's Elbow Ale and Smoke House,4.3,1694,Stadium-Chinatown,49.28020910000001,-123.1097658,ChIJKykD6HtxhlQRohz10KUI68M,Google,63.192950951251966
43,Padre Taco,3.9,15,Burrard,49.2860793,-123.1197614,ChIJkWE_KIJxhlQRV2u7R06eo4Q,Google,66.76459743914867
44,Uncle Fatih's Pizza - COMMERCIAL,4.2,811,Commercial-Broadway Station,49.2624933,-123.0701357,ChIJCQkB2U5xhlQR_XAoih1nlgs,Google,66.82544063296335
45,Jam Cafe,4.5,3301,Stadium-Chinatown,49.2802619,-123.1096419,ChIJUYBL3XtxhlQRrOYhW5_6DYc,Google,70.09700311774453
46,Panago Pizza,3.6,79,Marine Drive Station,49.2100801,-123.1178274,ChIJ17xXj651hlQRBNEnhBKcBGM,Google,74.29319878335313
47,Pink Elephant Thai,3.3,571,Marine Drive Station,49.2101116,-123.1162481,ChIJsyhPhfZ0hlQRw6qOhBW14eg,Google,74.53416411361141
48,Landmark Hotpot House,4.1,596,King Edward Station,49.2498405,-123.1155811,ChIJx3HmbvJzhlQRHVKLidWMFCU,Google,75.36499607289552
49,Chicko Chicken,4.2,76,Joyce–Collingwood,49.2378781,-123.0325626,ChIJX8ommVZ3hlQRWytJh-L2ApU,Google,80.27945897731367
50,Hapa Izakaya Yaletown,4.4,841,Yaletown-Roundhouse Station,49.2751544,-123.1226015,ChIJW8fi6NZzhlQRjKvR2NBsVkc,Google,83.77548712830523
51,Five Fifty,0.0,0,Stadium-Chinatown,49.2803238,-123.1092944,ChIJAQCww3txhlQRtv5ZVEP-lqY,Google,84.72761269140288
52,Cactus Club Cafe Yaletown,4.2,1698,Yaletown-Roundhouse Station,49.27507139999999,-123.1227765,ChIJTazswtZzhlQRuZas9GX26-I,Google,84.9471109479963
53,Charisma Social Club House,4.2,316,Stadium-Chinatown,49.2799406,-123.1087145,ChIJrRJmv3txhlQR3MkGD9d3OPA,Google,86.47250239381766
54,PLATO FILIPINO,4.0,226,Joyce–Collingwood,49.2378227,-123.0326023,ChIJszuUd5R2hlQRbQhmff6xKJQ,Google,86.63798943676666
55,Grab N Go Yaletown,4.5,73,Yaletown-Roundhouse Station,49.27488,-123.1230139,ChIJwYlYQBBzhlQRsfAcRUL1FVU,Google,86.75471030194599
56,Food Court & Stops,5.0,3,Waterfront Station,49.2849601,-123.1122362,ChIJw7YZW3hxhlQRQZ_37JRsNnQ,Google,86.89823338244136
57,Mamalee - Chinatown,4.0,34,Stadium-Chinatown,49.2796087,-123.108583,ChIJbSbJ949xhlQRZrEGqFDXlXc,Google,89.44471311549563
58,Rodney's Oyster House,4.4,1941,Yaletown-Roundhouse Station,49.2743262,-123.1231342,ChIJ9R182tZzhlQRgBcJ3U3p7t8,Google,89.75551443883612
59,Zab Zaab Thai Cuisine,4.6,182,Yaletown-Roundhouse Station,49.2748699,-123.1230725,ChIJxxoMHmJzhlQRaACSINH-s0o,Google,90.12494872182296
60,Egg Sammie,0.0,0,Yaletown-Roundhouse Station,49.275047,-123.1209698,ChIJwQoo-tZzhlQRKTzF5hkx2DU,Google,90.38970210541582
61,Ojik Kimchi Stew,0.0,0,Yaletown-Roundhouse Station,49.275047,-123.1209698,ChIJLa7k-9ZzhlQR9X73Ipmna3c,Google,90.38970210541582
62,Mapo Pancake House,4.2,172,Yaletown-Roundhouse Station,49.275047,-123.1209698,ChIJIzLWbzZzhlQR2agN1WfYoqk,Google,90.38970210541582
63,JOY CAFE,4.3,671,Marine Drive Station,49.2099139,-123.1182105,ChIJoUtzdT51hlQRW7qkx65gkZU,Google,90.63399712406738
64,Pampanga’s Cuisine Home of the Original Sisig,3.9,345,Joyce–Collingwood,49.2377663,-123.0326436,ChIJT-i_d5R2hlQRxbS0E4eSpaw,Google,93.21977134949633
65,Obanhmi,4.4,62,Yaletown-Roundhouse Station,49.2739094,-123.1227989,ChIJObd2OjlzhlQRiNQ5u2SsGIA,Google,93.55302513625172
66,Sushi TonTon,4.3,624,King Edward Station @ Platform 1,49.2498517,-123.1150166,ChIJDxxK9V9zhlQRKohrRXdNE-w,Google,95.85829241217492
67,OutTakes Backstage Bistro,3.8,16,Marine Drive Station,49.2098053,-123.1157048,ChIJyeuOjfZ0hlQR12QUl0ajRFk,Google,96.7171686973234
68,Kumare Express,3.8,63,Joyce–Collingwood,49.237739,-123.0326836,ChIJgU0ndpR2hlQRnROSZ_q1ops,Google,97.4207909318118
69,PappaRoti,4.5,207,Stadium-Chinatown,49.2800689,-123.1086346,ChIJQSQvv3txhlQRWKVZ9SMI-0M,Google,97.91983134660968
70,KAIBA BAR & GRILL INC,0.0,0,Waterfront Station,49.2852022,-123.1129049,ChIJN6XdPORxhlQRDKz-qFv8iSo,Google,97.9725740395303
71,Thai Box On Truck,4.7,16,Joyce–Collingwood,49.2376298,-123.03102,ChIJRVgtnZN2hlQRAIsn7LgPKWM,Google,98.50031422781656
72,Cactus Club Cafe Bentall 5,4.3,2577,Burrard,49.285532,-123.1188185,ChIJLwP4IIJxhlQRN41rdASKST0,Google,100.5116208646528
73,Bates Restaurants Ltd,0.0,0,Commercial-Broadway Station,49.2617465,-123.0696091,ChIJE5Oqxk5xhlQRqNwaMRGwmqU,Google,101.1434132141758
74,Robba da Matti (Yaletown),4.2,946,Yaletown-Roundhouse Station,49.2753626,-123.1212277,ChIJXeMk-NZzhlQRLt5fF5PwNiY,Google,105.35344379309214
75,Chipotle Mexican Grill,4.0,946,Broadway-City Hall Station,49.26307389999999,-123.1159946,ChIJYR_Rbt1zhlQRZOrzKuGXecA,Google,105.85024922868918
